"compartment","cell_type","cell_type_tissue"
"immune","classical monocyte","classical monocyte_Lung"
"epithelial","basal cell","basal cell_Lung"
"immune","CD4-positive, alpha-beta T cell","CD4 positive alpha beta T cell_Lung"
"epithelial","club cell","club cell_Lung"
"immune","plasma cell","plasma cell_Lung"
"stromal","vascular associated smooth muscle cell","vascular associated smooth muscle cell_Lung"
"epithelial","type I pneumocyte","type I pneumocyte_Lung"
"immune","non-classical monocyte","non classical monocyte_Lung"
"endothelial","endothelial cell of artery","endothelial cell of artery_Lung"
"immune","basophil","basophil_Lung"
"immune","B cell","B cell_Lung"
"endothelial","vein endothelial cell","vein endothelial cell_Lung"
"stromal","bronchial smooth muscle cell","bronchial smooth muscle cell_Lung"
"immune","CD8-positive, alpha-beta T cell","CD8 positive alpha beta T cell_Lung"
"stromal","pericyte","pericyte_Lung"
"endothelial","endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel_Lung"
"stromal","mesothelial cell","mesothelial cell_Lung"
"endothelial","lung microvascular endothelial cell","lung microvascular endothelial cell_Lung"
"immune","intermediate monocyte","intermediate monocyte_Lung"
"epithelial","pulmonary ionocyte","pulmonary ionocyte_Lung"
"epithelial","serous cell of epithelium of bronchus","serous cell of epithelium of bronchus_Lung"
"immune","naive B cell","naive B cell_Lymph Node"
"immune","naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus derived CD4 positive alpha beta T cell_Lymph Node"
"immune","memory B cell","memory B cell_Lymph Node"
"immune","CD4-positive, alpha-beta memory T cell","CD4 positive alpha beta memory T cell_Lymph Node"
"immune","CD8-positive, alpha-beta memory T cell","CD8 positive alpha beta memory T cell_Lymph Node"
"immune","mast cell","mast cell_Muscle"
"immune","mature NK T cell","mature NK T cell_Muscle"
"immune","CD4-positive, alpha-beta T cell","CD4 positive alpha beta T cell_Muscle"
"epithelial","pancreatic A cell","pancreatic A cell_Pancreas"
"epithelial","pancreatic D cell","pancreatic D cell_Pancreas"
"epithelial","intestinal crypt stem cell","intestinal crypt stem cell_Small Intestine"
"epithelial","goblet cell","goblet cell_Small Intestine"
"epithelial","enterocyte","enterocyte_Small Intestine"
"epithelial","duodenum glandular cell","duodenum glandular cell_Small Intestine"
"immune","CD8-positive, alpha-beta T cell","CD8 positive alpha beta T cell_Spleen"
"immune","memory B cell","memory B cell_Thymus"
"epithelial","mesothelial cell","mesothelial cell_Thymus"
"immune","CD8-positive, alpha-beta T cell","CD8 positive alpha beta T cell_Thymus"
"immune","dendritic cell","dendritic cell_Thymus"
"immune","CD4-positive helper T cell","CD4 positive helper T cell_Thymus"
"immune","naive B cell","naive B cell_Thymus"
"stromal","fast muscle cell","fast muscle cell_Thymus"
"immune","mature NK T cell","mature NK T cell_Thymus"
"immune","immature natural killer cell","immature natural killer cell_Thymus"
"stromal","connective tissue cell","connective tissue cell_Trachea"
"epithelial","goblet cell","goblet cell_Trachea"
"epithelial","epithelial cell","epithelial cell_Vasculature"
"immune","mast cell","mast cell_Vasculature"
"placental","dNK3","dNK3_Decidua"
"placental","dNK1","dNK1_Decidua"
"placental","dNK2","dNK2_Decidua"
"placental","EVT","EVT_Decidua"
"placental","NK CD16+","NK CD16_Decidua"
"placental","Granulocytes","Granulocytes_Decidua"
"placental","dM1","dM1_Decidua"
"placental","Tcells","Tcells_Decidua"
"placental","dM3","dM3_Decidua"
"placental","dS3","dS3_Decidua"
"placental","dNK p","dNK p_Decidua"
"placental","dM2","dM2_Decidua"
"placental","ILC3","ILC3_Decidua"
"placental","DC1","DC1_Decidua"
"placental","Endo L","Endo L_Decidua"
"placental","dS1","dS1_Decidua"
"placental","dS2","dS2_Decidua"
"placental","Endo (m)","Endo m_Decidua"
"placental","Epi1","Epi1_Decidua"
"placental","Epi2","Epi2_Decidua"
"placental","Plasma","Plasma_Decidua"
"placental","VCT","VCT_Decidua"
"placental","dP2","dP2_Decidua"
"placental","dP1","dP1_Decidua"
"placental","Endo (f)","Endo f_Decidua"
"placental","Tcells","Tcells_Blood"
"placental","NK CD16+","NK CD16_Blood"
"placental","Granulocytes","Granulocytes_Blood"
"placental","dM1","dM1_Blood"
"placental","MO","MO_Blood"
"placental","Plasma","Plasma_Blood"
"placental","NK CD16-","NK CD16_Blood"
"placental","DC2","DC2_Blood"
"placental","ILC3","ILC3_Blood"
"placental","dNK2","dNK2_Blood"
"placental","MO","MO_Decidua"
"placental","SCT","SCT_Decidua"
"placental","fFB1","fFB1_Placenta"
"placental","VCT","VCT_Placenta"
"placental","SCT","SCT_Placenta"
"placental","dM3","dM3_Placenta"
"placental","HB","HB_Placenta"
"placental","dM1","dM1_Placenta"
"placental","dNK p","dNK p_Placenta"
"placental","EVT","EVT_Placenta"
"placental","Endo (f)","Endo f_Placenta"
"placental","Endo (m)","Endo m_Placenta"
"placental","dM2","dM2_Placenta"
"placental","MO","MO_Placenta"
"placental","Tcells","Tcells_Placenta"
"placental","DC2","DC2_Decidua"
"placental","NK CD16-","NK CD16_Decidua"
"placental","Granulocytes","Granulocytes_Placenta"
"placental","Plasma","Plasma_Placenta"
"placental","dNK1","dNK1_Placenta"
"placental","DC2","DC2_Placenta"
"placental","dNK2","dNK2_Placenta"
"placental","DC1","DC1_Blood"
"placental","dNK p","dNK p_Blood"
"placental","HB","HB_Decidua"
"placental","fFB2","fFB2_Placenta"
"placental","DC1","DC1_Placenta"
"placental","Epi2","Epi2_Placenta"
"placental","dS1","dS1_Placenta"
"placental","Endo L","Endo L_Placenta"
"placental","dS2","dS2_Placenta"
"placental","Epi1","Epi1_Placenta"
"placental","IGFBP1_DKK1 positive cells","IGFBP1 DKK1 positive cells_Placenta"
"placental","Extravillous trophoblasts","Extravillous trophoblasts_Placenta"
"placental","AFP_ALB positive cells","AFP ALB positive cells_Placenta"
"placental","Trophoblast giant cells","Trophoblast giant cells_Placenta"
"placental","Vascular endothelial cells","Vascular endothelial cells_Placenta"
"placental","Syncytiotrophoblasts and villous cytotrophoblasts","Syncytiotrophoblasts and villous cytotrophoblasts_Placenta"
"placental","PAEP_MECOM positive cells","PAEP MECOM positive cells_Placenta"
"placental","Myeloid cells","Myeloid cells_Placenta"
"placental","Stromal cells","Stromal cells_Placenta"
"placental","Smooth muscle cells","Smooth muscle cells_Placenta"
"placental","Lymphoid cells","Lymphoid cells_Placenta"
"placental","Megakaryocytes","Megakaryocytes_Placenta"
